product_id,slug,product_name,category,manufacturer,model,use_case,main_spec_label,main_spec_value,sub_spec_label,sub_spec_value,voltage,power_kw,price_krw,lead_time_days,stock_status,certification,featured,summary
EQ-PM-014,pm-014-pm-157x,스테인리스 원심펌프 PRO-200,산업용 펌프,코리아센서,PM-157X,약품 이송,유량,80 L/min,양정,48 m,220V,2.2,6680000,5,주문 생산,CE,false,"약품 이송에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-PM-015,pm-015-pm-244x,내화학 다이어프램펌프 MAX-220,산업용 펌프,코리아센서,PM-244X,식품 원료 이송,유량,150 L/min,양정,48 m,380V,7.5,1560000,21,재고 있음,CE,false,"식품 원료 이송에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-PM-016,pm-016-pm-474x,수직 다단펌프 ECO-240,산업용 펌프,코리아센서,PM-474X,냉각수 순환,유량,620 L/min,양정,18 m,380V,5.5,5610000,10,입고 예정,해당 없음,false,"냉각수 순환에 적합한 산업용 펌프 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-017,mt-017-mt-248x,고효율 삼상모터 SMART-100,모터·감속기,에어메이트,MT-248X,교반기,정격 출력,7.5 kW,감속비,1:10,220/380V,7.5,2470000,7,입고 예정,CE,true,"교반기에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-018,mt-018-mt-225x,헬리컬 기어드모터 ECO-120,모터·감속기,세진테크,MT-225X,리프트·호이스트,정격 출력,7.5 kW,감속비,1:20,380V,7.5,3080000,5,주문 생산,해당 없음,false,"리프트·호이스트에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-019,mt-019-mt-405x,웜 감속기 PRO-140,모터·감속기,청우기전,MT-405X,컨베이어,정격 출력,1.5 kW,감속비,1:10,380V,1.5,2900000,3,주문 생산,CE,false,"컨베이어에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-020,mt-020-mt-879x,웜 감속기 ECO-160,모터·감속기,에어메이트,MT-879X,리프트·호이스트,정격 출력,1.5 kW,감속비,1:50,220/380V,1.5,2370000,10,입고 예정,KC·CE,true,"리프트·호이스트에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-021,mt-021-mt-375s,웜 감속기 MAX-180,모터·감속기,에어메이트,MT-375S,포장기,정격 출력,0.75 kW,감속비,1:10,380V,0.75,3670000,3,주문 생산,KC,false,"포장기에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-022,mt-022-mt-156a,웜 감속기 PRO-200,모터·감속기,동우산업,MT-156A,포장기,정격 출력,1.5 kW,감속비,1:10,380V,1.5,3310000,10,재고 있음,KC,false,"포장기에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-023,mt-023-mt-304a,고효율 삼상모터 MAX-220,모터·감속기,에어메이트,MT-304A,교반기,정격 출력,1.5 kW,감속비,1:10,220/380V,1.5,2470000,7,재고 있음,CE,false,"교반기에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-MT-024,mt-024-mt-442a,헬리컬 기어드모터 SMART-240,모터·감속기,청우기전,MT-442A,컨베이어,정격 출력,7.5 kW,감속비,1:20,380V,7.5,2680000,10,입고 예정,해당 없음,false,"컨베이어에 적합한 모터·감속기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-025,sn-025-sn-290x,레이저 거리센서 ECO-100,센서·계측기,동우산업,SN-290X,거리·위치 검출,측정 범위,0.1~10 m,출력 방식,0-10V,24V DC,0.2,1680000,14,재고 있음,해당 없음,true,"거리·위치 검출에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-026,sn-026-sn-669a,비접촉 온도센서 ECO-120,센서·계측기,동우산업,SN-669A,비접촉 온도 측정,측정 범위,-20~500 ℃,출력 방식,0-10V,12-24V DC,0.05,1290000,10,재고 있음,KC,false,"비접촉 온도 측정에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-027,sn-027-sn-835x,전자식 유량계 MAX-140,센서·계측기,청우기전,SN-835X,배관 유량 계측,측정 범위,1~200 L/min,출력 방식,4-20mA,12-24V DC,0.2,570000,21,입고 예정,해당 없음,false,"배관 유량 계측에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-028,sn-028-sn-916x,전자식 유량계 MAX-160,센서·계측기,세진테크,SN-916X,유체 사용량 계측,측정 범위,1~300 L/min,출력 방식,0-10V,12-24V DC,0.05,1760000,14,재고 있음,ISO 9001,true,"유체 사용량 계측에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-029,sn-029-sn-920a,레이저 거리센서 ECO-180,센서·계측기,하이맥스,SN-920A,거리·위치 검출,측정 범위,20~500 mm,출력 방식,4-20mA,24V DC,0.2,350000,7,주문 생산,KC,false,"거리·위치 검출에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-030,sn-030-sn-795x,레이저 거리센서 PRO-200,센서·계측기,동우산업,SN-795X,거리·위치 검출,측정 범위,20~500 mm,출력 방식,IO-Link,24V DC,0.12,880000,10,입고 예정,KC·CE,false,"거리·위치 검출에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-031,sn-031-sn-418x,비접촉 온도센서 SMART-220,센서·계측기,동우산업,SN-418X,비접촉 온도 측정,측정 범위,-20~500 ℃,출력 방식,0-10V,12-24V DC,0.05,1580000,3,주문 생산,CE,false,"비접촉 온도 측정에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-SN-032,sn-032-sn-196s,디지털 압력센서 MAX-240,센서·계측기,코리아센서,SN-196S,공압·유압 상태 감시,측정 범위,0~25 bar,출력 방식,RS485,24V DC,0.2,1700000,7,입고 예정,ISO 9001,false,"공압·유압 상태 감시에 적합한 센서·계측기 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-033,vl-033-vl-896s,공압 볼밸브 PRO-100,밸브·유체제어,동우산업,VL-896S,스팀·온수 제어,접속 구경,50A,사용 압력,40 bar,24V DC,0.08,780000,5,재고 있음,CE,true,"스팀·온수 제어에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-034,vl-034-vl-713a,스테인리스 솔레노이드밸브 MAX-120,밸브·유체제어,하이맥스,VL-713A,공정 유체 차단,접속 구경,15A,사용 압력,25 bar,24V DC,0.12,2060000,7,주문 생산,KC,false,"공정 유체 차단에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-035,vl-035-vl-494b,비례 제어밸브 ECO-140,밸브·유체제어,세진테크,VL-494B,스팀·온수 제어,접속 구경,25A,사용 압력,40 bar,24V DC,0.02,1960000,7,입고 예정,CE,false,"스팀·온수 제어에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-036,vl-036-vl-443s,전동 볼밸브 ECO-160,밸브·유체제어,코리아센서,VL-443S,스팀·온수 제어,접속 구경,25A,사용 압력,16 bar,220/380V,0.02,150000,7,재고 있음,ISO 9001,true,"스팀·온수 제어에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-037,vl-037-vl-482s,공압 볼밸브 MAX-180,밸브·유체제어,동우산업,VL-482S,공정 유체 차단,접속 구경,40A,사용 압력,10 bar,24V DC,0.12,1270000,7,주문 생산,KC·CE,false,"공정 유체 차단에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-038,vl-038-vl-305x,스테인리스 솔레노이드밸브 SMART-200,밸브·유체제어,코리아센서,VL-305X,공정 유체 차단,접속 구경,25A,사용 압력,25 bar,24V DC,0.02,1070000,7,재고 있음,KC·CE,false,"공정 유체 차단에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-039,vl-039-vl-822b,공압 버터플라이밸브 PRO-220,밸브·유체제어,동우산업,VL-822B,공정 유체 차단,접속 구경,50A,사용 압력,40 bar,24V DC,0.12,2050000,21,주문 생산,해당 없음,false,"공정 유체 차단에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
EQ-VL-040,vl-040-vl-233s,비례 제어밸브 PRO-240,밸브·유체제어,청우기전,VL-233S,정밀 유량 제어,접속 구경,25A,사용 압력,40 bar,24V DC,0.12,1000000,7,주문 생산,KC·CE,false,"정밀 유량 제어에 적합한 밸브·유체제어 제품으로, 안정적인 운전과 간편한 유지관리를 고려한 포트폴리오 데모용 모델입니다."
